"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"PA14_00550","","","4","4","1","1","1007","","","","1253","1409","1324","NNL25_RS00245","PA14_00550","PA0043","QLX61_RS00335"
"exoT","","","4","4","1","1","1008","","","","1322","1373","1349","NNL25_RS00250","PA14_00560","PA0044","QLX61_RS00340"
"QLX61_RS00355","","","4","4","1","1","1011","","","","509","665","587","NNL25_RS00265","PA14_00590","PA0047","QLX61_RS00355"
"dsbM","","","4","4","1","1","1023","","","","704","704","704","NNL25_RS00320","PA14_00700","PA0058","QLX61_RS00410"
"icmF1","","","4","4","1","1","1042","","","","3305","3530","3418","NNL25_RS00415","PA14_00910","PA0077","QLX61_RS00505"
"tse6","","","4","4","1","1","1058","","","","1292","1319","1298","NNL25_RS00495","PA14_01140","PA0093","QLX61_RS00585"
"PA14_01690","","","4","4","1","1","1104","","","","926","980","939","NNL25_RS00715","PA14_01690","PA0138","QLX61_RS00805"
"nuh","","","4","4","1","1","1109","","","","989","1052","1036","NNL25_RS00740","PA14_01760","PA0143","QLX61_RS00830"
"PA14_38290","","","4","4","1","1","318","","","","299","317","303","NNL25_RS15485","PA14_38290","PA2029","QLX61_RS15705"
"QLX61_RS00835","","","4","4","1","1","1111","","","","626","626","626","NNL25_RS00745","PA14_01780","PA0144","QLX61_RS00835"
"pcaQ","","","4","4","1","1","1119","","","","827","917","872","NNL25_RS00785","PA14_01890","PA0152","QLX61_RS00875"
"siaD","","","4","4","1","1","1136","","","","707","827","767","NNL25_RS00865","PA14_02110","PA0169","QLX61_RS00955"
"tonB2","","","4","4","1","1","1165","","","","794","812","807","NNL25_RS01010","PA14_02490","PA0197","QLX61_RS01100"
"madL","","","4","4","1","1","1183","","","","404","404","404","NNL25_RS01070","PA14_02630","PA0215","QLX61_RS01160"
"PA0244","","","4","4","1","1","1212","","","","854","854","854","NNL25_RS01215","PA14_03020","PA0244","QLX61_RS01305"
"NNL25_RS01255","","","4","4","1","1","1221","","","","287","287","287","NNL25_RS01255","PA14_03110","PA0252","QLX61_RS01345"
"hudR","","","4","4","1","1","1222","","","","476","476","476","NNL25_RS01260","PA14_03120","PA0253","QLX61_RS01350"
"QLX61_RS01415","","","4","4","1","1","6867","","","","73","76","75","NNL25_RS01285","PA14_03410","PA0263.1","QLX61_RS01415"
"QLX61_RS01445","","","4","4","1","1","6861","","","","407","407","407","NNL25_RS01315","PA14_03510","PA0270","QLX61_RS01445"
"pqqF","","","4","4","1","1","376","","","","2327","2327","2327","NNL25_RS15775","PA14_39010","PA1973","QLX61_RS16000"
"oprE","","","4","4","1","1","6840","","","","1382","1391","1384","NNL25_RS01420","PA14_03800","PA0291","QLX61_RS01550"
"PA14_04010","","","4","4","1","1","6824","","","","503","638","536","NNL25_RS01500","PA14_04010","PA0306.1","QLX61_RS01630"
"NNL25_RS01510","","","4","4","1","1","6822","","","","941","1019","980","NNL25_RS01510","PA14_04030","PA0308","QLX61_RS01640"
"PA0325","","","4","4","1","1","6805","","","","929","929","929","NNL25_RS01595","PA14_04240","PA0325","QLX61_RS01725"
"QLX61_RS01800","","","4","4","1","1","6790","","","","1037","1130","1106","NNL25_RS01670","PA14_04420","PA0338","QLX61_RS01800"
"tonB3","","","4","4","1","1","6720","","","","893","959","926","NNL25_RS02020","PA14_05300","PA0406","QLX61_RS02150"
"PA14_05450","","","4","4","1","1","6707","","","","722","722","722","NNL25_RS02085","PA14_05450","PA0419","QLX61_RS02215"
"metF","","","4","4","1","1","6696","","","","848","872","860","NNL25_RS02140","PA14_05590","PA0430","QLX61_RS02270"
"clpG","","","4","4","1","1","6667","","","","2552","2798","2675","NNL25_RS02275","PA14_06000","PA0459","QLX61_RS02410"
"exsE","","","4","4","1","1","2618","","","","245","245","245","NNL25_RS17115","PA14_42410","PA1711","QLX61_RS17345"
"PA0462","","","4","4","1","1","6663","","","","509","704","606","NNL25_RS02290","PA14_06040","PA0462","QLX61_RS02430"
"fiuA","","","4","4","1","1","6654","","","","2393","2408","2396","NNL25_RS02335","PA14_06160","PA0470","QLX61_RS02475"
"PA14_06260","","","4","4","1","1","6645","","","","938","950","947","NNL25_RS02380","PA14_06260","PA0479","QLX61_RS02520"
"NNL25_RS02425","","","4","4","1","1","6636","","","","320","320","320","NNL25_RS02425","PA14_06350","PA0488","QLX61_RS02565"
"PA14_06360","","","4","4","1","1","6635","","","","725","725","725","NNL25_RS02430","PA14_06360","PA0489","QLX61_RS02570"
"PA14_06390","","","4","4","1","1","6634","","","","293","293","293","NNL25_RS02435","PA14_06390","PA0490","QLX61_RS02575"
"PA0495","","","4","4","1","1","6629","","","","878","878","878","NNL25_RS02460","PA14_06460","PA0495","QLX61_RS02600"
"bioC","","","4","4","1","1","6619","","","","824","824","824","NNL25_RS02510","PA14_06540","PA0503","QLX61_RS02635"
"NNL25_RS02660","","","4","4","1","1","6589","","","","263","506","384","NNL25_RS02660","PA14_06940","PA0532","QLX61_RS02785"
"PA0542","","","4","4","1","1","6579","","","","419","419","419","NNL25_RS02710","PA14_07040","PA0542","QLX61_RS02835"
"PA14_46760","","","4","4","1","1","2989","","","","269","380","352","NNL25_RS18945","PA14_46760","PA1355","QLX61_RS18435"
"QLX61_RS02895","","","4","4","1","1","6567","","","","341","341","341","NNL25_RS02770","PA14_07210","PA0554","QLX61_RS02895"
"NNL25_RS02780","","","4","4","1","1","6565","","","","482","482","482","NNL25_RS02780","PA14_07240","PA0556","QLX61_RS02905"
"PA14_07310","","","4","4","1","1","6559","","","","674","695","679","NNL25_RS02810","PA14_07310","PA0562","QLX61_RS02930"
"PA14_07420","","","4","4","1","1","6550","","","","614","614","614","NNL25_RS02855","PA14_07420","PA0571","QLX61_RS02975"
"QLX61_RS03260","","","4","4","1","1","6456","","","","359","359","359","NNL25_RS03280","PA14_07980","PA0613","QLX61_RS03260"
"QLX61_RS03345","","","4","4","1","1","6438","","","","362","362","362","NNL25_RS03295","PA14_08180","PA0630","QLX61_RS03345"
"PA0631","","","4","4","1","1","6437","","","","257","257","257","NNL25_RS03300","PA14_08190","PA0631","QLX61_RS03350"
"PA14_49500","","","4","4","1","1","2454","","","","554","554","554","NNL25_RS19965","PA14_49500","PA1153","QLX61_RS20125"
"PA14_09370","","","4","4","1","1","6350","","","","1175","1505","1342","NNL25_RS03820","PA14_09370","PA4219","QLX61_RS03805"
"pqsL","","","4","4","1","1","6325","","","","1196","1205","1198","NNL25_RS03965","PA14_09700","PA4190","QLX61_RS03950"
"PA14_09810","","","4","4","1","1","6311","","","","719","719","719","NNL25_RS04010","PA14_09810","PA4181","QLX61_RS03995"
"QLX61_RS04030","","","4","4","1","1","6304","","","","923","923","923","NNL25_RS04045","PA14_09910","PA4174","QLX61_RS04030"
"NNL25_RS04085","","","4","4","1","1","6296","","","","458","458","458","NNL25_RS04085","PA14_09990","PA4166","QLX61_RS04070"
"PA4153","","","4","4","1","1","6283","","","","1061","1091","1076","NNL25_RS04150","PA14_10230","PA4153","QLX61_RS04135"
"NNL25_RS21925","","","4","4","1","1","3260","","","","446","701","509","NNL25_RS21925","PA14_53650","PA0822","QLX61_RS21865"
"hpaI","","","4","4","1","1","6257","","","","806","806","806","NNL25_RS04275","PA14_10570","PA4128","QLX61_RS04260"
"QLX61_RS04365","","","4","4","1","1","6236","","","","1244","1244","1244","NNL25_RS04380","PA14_10820","PA4108","QLX61_RS04365"
"PA14_10850","","","4","4","1","1","6233","","","","1679","1679","1679","NNL25_RS04425","PA14_10850","PA4100","QLX61_RS04410"
"PA14_11050","","","4","4","1","1","6217","","","","824","824","824","NNL25_RS04490","PA14_11050","PA4087","QLX61_RS04475"
"cupB1","","","4","4","1","1","6216","","","","569","569","569","NNL25_RS04495","PA14_11060","PA4086","QLX61_RS04480"
"cupB3","","","4","4","1","1","6214","","","","2468","2534","2517","NNL25_RS04505","PA14_11080","PA4084","QLX61_RS04490"
"cupB6","","","4","4","1","1","6211","","","","1145","1145","1145","NNL25_RS04520","PA14_11110","PA4081","QLX61_RS04505"
"PA4078","","","4","4","1","1","6208","","","","2975","2975","2975","NNL25_RS04535","PA14_11140","PA4078","QLX61_RS04520"
"NNL25_RS04555","","","4","4","1","1","6205","","","","668","668","668","NNL25_RS04555","PA14_11180","PA4074","QLX61_RS04540"
"QLX61_RS04605","","","4","4","1","1","6192","","","","344","356","353","NNL25_RS04620","PA14_11330","PA4062","QLX61_RS04605"
"thiL","","","4","4","1","1","6182","","","","968","968","968","NNL25_RS04670","PA14_11460","PA4051","QLX61_RS04655"
"NNL25_RS04855","","","4","4","1","1","6144","","","","362","410","386","NNL25_RS04855","PA14_11920","PA4014","QLX61_RS04840"
"PA14_12690","","","4","4","1","1","6083","","","","434","434","434","NNL25_RS05145","PA14_12690","PA3956","QLX61_RS05160"
"NNL25_RS05160","","","4","4","1","1","6080","","","","581","581","581","NNL25_RS05160","PA14_12730","PA3953","QLX61_RS05175"
"PA3952","","","4","4","1","1","6079","","","","575","716","645","NNL25_RS05165","PA14_12740","PA3952","QLX61_RS05180"
"PA14_12910","","","4","4","1","1","6066","","","","179","920","734","NNL25_RS05230","PA14_12910","PA3939","QLX61_RS05245"
"PA3928","","","4","4","1","1","6055","","","","170","170","170","NNL25_RS05285","PA14_13050","PA3928","QLX61_RS05300"
"PA3904","","","4","4","1","1","6027","","","","395","407","398","NNL25_RS05405","PA14_13390","PA3904","QLX61_RS05420"
"tpbA","","","4","4","1","1","6006","","","","656","656","656","NNL25_RS05510","PA14_13660","PA3885","QLX61_RS05525"
"QLX61_RS05720","","","4","4","1","1","5960","","","","350","350","350","NNL25_RS05705","PA14_14330","PA3842","QLX61_RS05720"
"holC","","","4","4","1","1","5950","","","","428","428","428","NNL25_RS05755","PA14_14460","PA3832","QLX61_RS05770"
"PA14_14530","","","4","4","1","1","5942","","","","1571","1580","1577","NNL25_RS05790","PA14_14530","PA3825","QLX61_RS05805"
"leuA","","","4","4","1","1","5902","","","","1670","1778","1724","NNL25_RS05980","PA14_15030","PA3792","QLX61_RS05975"
"PA14_15110","","","4","4","1","1","5896","","","","389","389","389","NNL25_RS06010","PA14_15110","PA3786","QLX61_RS06005"
"phaZ","","","4","4","1","1","1919","","","","857","857","857","NNL25_RS26885","PA14_66830","PA5057","QLX61_RS26775"
"rpsE","","","4","4","1","1","6377","","","","500","500","500","NNL25_RS03685","PA14_09020","PA4246","QLX61_RS03670"
"sodM","","","4","4","1","1","3653","","","","611","611","611","NNL25_RS23710","PA14_58000","PA4468","QLX61_RS23630"
"PA14_11490","","","4","4","1","1","6179","","","","644","644","644","NNL25_RS04685","PA14_11490","PA4048","QLX61_RS04670"
"QLX61_RS06065","","","4","4","1","1","5884","","","","782","782","782","NNL25_RS06070","PA14_15250","PA3775","QLX61_RS06065"
"PA14_69310","","","4","4","1","1","1722","","","","629","629","629","NNL25_RS27890","PA14_69310","PA5249","QLX61_RS27845"
"QLX61_RS24365","","","4","4","1","1","3469","","","","506","506","506","NNL25_RS24440","PA14_60960","PA4607","QLX61_RS24365"
"QLX61_RS16665","","","4","4","1","1","496","","","","362","362","362","NNL25_RS16435","PA14_40710","PA1840","QLX61_RS16665"
"mreB","","","4","4","1","1","3640","","","","1037","1037","1037","NNL25_RS23775","PA14_58150","PA4481","QLX61_RS23695"
"hscB","","","4","4","1","1","5921","","","","521","521","521","NNL25_RS05885","PA14_14770","PA3811","QLX61_RS05880"
"rplT","","","4","4","1","1","4711","","","","356","356","356","NNL25_RS11385","PA14_28680","PA2741","QLX61_RS11435"
"nusG","","","4","4","1","1","6406","","","","533","533","533","NNL25_RS03540","PA14_08710","PA4275","QLX61_RS03525"
"raiA","","","4","4","1","1","3658","","","","308","308","308","NNL25_RS23685","PA14_57950","PA4463","QLX61_RS23605"
"mltF","","","4","4","1","1","5843","","","","1355","1472","1414","NNL25_RS06130","PA14_15720","PA3764","QLX61_RS06145"
"braG","","","4","4","1","1","2362","","","","701","701","701","NNL25_RS20450","PA14_50560","PA1070","QLX61_RS20560"
"group_2181","dsbE","","4","4","1","1","4338","","","","836","836","836","NNL25_RS13235","PA14_32600","PA2477","QLX61_RS13175"
"osmE","","","4","4","1","1","2106","","","","344","344","344","NNL25_RS25960","PA14_64480","PA4876","QLX61_RS25855"
"QLX61_RS16685","","","4","4","1","1","492","","","","497","497","497","NNL25_RS16455","PA14_40780","PA1837","QLX61_RS16685"
"NNL25_RS21460","","","4","4","1","1","716","","","","275","275","275","NNL25_RS21460","PA14_52500","PA0909","QLX61_RS21395"
"PA2027","","","4","4","1","1","320","","","","392","392","392","NNL25_RS15495","PA14_38310","PA2027","QLX61_RS15715"
"PA2592","","","4","4","1","1","4502","","","","1103","1103","1103","NNL25_RS12615","PA14_30570","PA2592","QLX61_RS12535"
"rsmN","","","4","4","1","1","1790","","","","215","215","215","NNL25_RS27550","PA14_68470","PA5183.1","QLX61_RS27510"
"mucA","","","4","4","1","1","3321","","","","584","584","584","NNL25_RS22225","PA14_54420","PA0763","QLX61_RS22170"
"groES","","","4","4","1","1","3736","","","","293","293","293","NNL25_RS23295","PA14_57020","PA4386","QLX61_RS23215"
"PA3732","","","4","4","1","1","5809","","","","443","620","575","NNL25_RS06300","PA14_16140","PA3732","QLX61_RS06315"
"mreD","","","4","4","1","1","3642","","","","494","494","494","NNL25_RS23765","PA14_58120","PA4479","QLX61_RS23685"
"rplO","","","4","4","1","1","6375","","","","434","434","434","NNL25_RS03695","PA14_09040","PA4244","QLX61_RS03680"
"pqsE","","","4","4","1","1","884","","","","905","905","905","NNL25_RS20825","PA14_51380","PA1000","QLX61_RS20935"
"ptsN","","","4","4","1","1","3657","","","","464","464","464","NNL25_RS23690","PA14_57960","PA4464","QLX61_RS23610"
"NNL25_RS11360","","","4","4","1","1","4716","","","","326","326","326","NNL25_RS11360","PA14_28620","PA2746","QLX61_RS11410"
"PA14_57690","","","4","4","1","1","3680","","","","446","446","446","NNL25_RS23575","PA14_57690","PA4441","QLX61_RS23495"
"PA14_68970","","","4","4","1","1","1751","","","","482","482","482","NNL25_RS27745","PA14_68970","PA5222","QLX61_RS27705"
"gcvH","","","4","4","1","1","4285","","","","383","383","383","NNL25_RS13370","PA14_32985","PA2446","QLX61_RS13400"
"csrA","","","4","4","1","1","712","","","","185","185","185","NNL25_RS21495","PA14_52570","PA0905","QLX61_RS21430"
"fliL","","","4","4","1","1","2913","","","","521","521","521","NNL25_RS18495","PA14_45810","PA1442","QLX61_RS19145"
"NNL25_RS06350","","","4","4","1","1","5799","","","","350","350","350","NNL25_RS06350","PA14_16270","PA3722","QLX61_RS06365"
"PA2140","","","4","4","1","1","203","","","","239","239","239","NNL25_RS14940","PA14_36890","PA2140","QLX61_RS15175"
"plsY","","","4","4","1","1","6488","","","","569","569","569","NNL25_RS03120","PA14_07580","PA0581","QLX61_RS03100"
"PA1201","","","4","4","1","1","3134","","","","914","914","914","NNL25_RS19725","PA14_48770","PA1201","QLX61_RS19885"
"PA14_18180","","","4","4","1","1","5640","","","","293","293","293","NNL25_RS07135","PA14_18180","PA3566","QLX61_RS07145"
"PA14_71200","","","4","4","1","1","1574","","","","422","422","422","NNL25_RS28640","PA14_71200","PA5392","QLX61_RS28595"
"QLX61_RS23305","","","4","4","1","1","3718","","","","923","923","923","NNL25_RS23385","PA14_57240","PA4404","QLX61_RS23305"
"cycB","","","4","4","1","1","1669","","","","410","410","410","NNL25_RS28155","PA14_69970","PA5300","QLX61_RS28110"
"ilvD","","","4","4","1","1","6775","","","","1838","1838","1838","NNL25_RS01745","PA14_04630","PA0353","QLX61_RS01875"
"PA3412","","","4","4","1","1","5502","","","","269","269","269","NNL25_RS07815","PA14_19960","PA3412","QLX61_RS07835"
"tufA","","","4","4","1","1","6396","","","","1193","1193","1193","NNL25_RS03590","PA14_08830","PA4265","QLX61_RS03575"
"PA3698","","","4","4","1","1","5774","","","","551","551","551","NNL25_RS06470","PA14_16560","PA3698","QLX61_RS06485"
"PA3046","","","4","4","1","1","5047","","","","344","344","344","NNL25_RS09710","PA14_24700","PA3046","QLX61_RS09745"
"bkdA2","","","4","4","1","1","28","","","","1052","1052","1052","NNL25_RS14400","PA14_35520","PA2248","QLX61_RS14425"
"cysT","","","4","4","1","1","6849","","","","818","818","818","NNL25_RS01375","PA14_03680","PA0282","QLX61_RS01505"
"lysM","","","4","4","1","1","1796","","","","437","437","437","NNL25_RS27520","PA14_68400","PA5178","QLX61_RS27480"
"PA4719","","","4","4","1","1","2277","","","","1295","1295","1295","NNL25_RS25150","PA14_62440","PA4719","QLX61_RS25000"
"tssB","","","4","4","1","1","1048","","","","518","518","518","NNL25_RS00445","PA14_01010","PA0083","QLX61_RS00535"
"PA4453","","","4","4","1","1","3668","","","","647","647","647","NNL25_RS23635","PA14_57840","PA4453","QLX61_RS23555"
"PA0068","","","4","4","1","1","1033","","","","275","275","275","NNL25_RS00370","PA14_00800","PA0068","QLX61_RS00460"
"PA0398","","","4","4","1","1","6728","","","","404","404","404","NNL25_RS01980","PA14_05210","PA0398","QLX61_RS02110"
"PA14_26260","","","4","4","1","1","4920","","","","1169","1169","1169","NNL25_RS10350","PA14_26260","PA2922","QLX61_RS10385"
"PA3681","","","4","4","1","1","5757","","","","695","695","695","NNL25_RS06555","PA14_16750","PA3681","QLX61_RS06570"
"QLX61_RS04780","","","4","4","1","1","6156","","","","461","461","461","NNL25_RS04795","PA14_11750","PA4026","QLX61_RS04780"
"PA1594","","","4","4","1","1","2737","","","","446","446","446","NNL25_RS17715","PA14_43880","PA1594","QLX61_RS17945"
"PA14_43140","","","4","4","1","1","2677","","","","476","476","476","NNL25_RS17415","PA14_43140","PA1653","QLX61_RS17645"
"PA14_07330","","","4","4","1","1","6558","","","","353","353","353","NNL25_RS02815","PA14_07330","PA0563","QLX61_RS02935"
"iscX","","","4","4","1","1","5918","","","","200","200","200","NNL25_RS05900","PA14_14810","PA3808","QLX61_RS05895"
"PA14_39060","","","4","4","1","1","379","","","","239","239","239","NNL25_RS15790","PA14_39060","PA1970","QLX61_RS16015"
"PA3753","","","4","4","1","1","5831","","","","524","524","524","NNL25_RS06190","PA14_15870","PA3753","QLX61_RS06205"
"PA14_72630","","","4","4","1","1","1459","","","","677","677","677","NNL25_RS29205","PA14_72630","PA5504","QLX61_RS29160"
"atpB","","","4","4","1","1","1395","","","","869","869","869","NNL25_RS29485","PA14_73310","PA5560","QLX61_RS29480"
"fliQ","","","4","4","1","1","2908","","","","269","269","269","NNL25_RS18470","PA14_45760","PA1447","QLX61_RS19120"
"PA14_16770","","","4","4","1","1","5756","","","","785","785","785","NNL25_RS06560","PA14_16770","PA3680","QLX61_RS06575"
"prs","","","4","4","1","1","3401","","","","941","941","941","NNL25_RS24780","PA14_61770","PA4670","QLX61_RS24705"
"NNL25_RS04750","","","4","4","1","1","6166","","","","1001","1001","1001","NNL25_RS04750","PA14_11650","PA4035","QLX61_RS04735"
"QLX61_RS06200","","","4","4","1","1","5832","","","","611","611","611","NNL25_RS06185","PA14_15860","PA3754","QLX61_RS06200"
"PA14_36190","","","4","4","1","1","132","","","","476","476","476","NNL25_RS14590","PA14_36190","PA2205","QLX61_RS14825"
"cdsA","","","4","4","1","1","5727","","","","815","815","815","NNL25_RS06705","PA14_17120","PA3651","QLX61_RS06720"
"NNL25_RS06870","","","4","4","1","1","5694","","","","506","506","506","NNL25_RS06870","PA14_17520","PA3618","QLX61_RS06885"
"PA14_30410","","","4","4","1","1","4523","","","","668","668","668","NNL25_RS12100","PA14_30410","PA2604","QLX61_RS12470"
"pyrF","","","4","4","1","1","4874","","","","698","698","698","NNL25_RS10580","PA14_26890","PA2876","QLX61_RS10615"
"QLX61_RS02230","","","4","4","1","1","6704","","","","569","569","569","NNL25_RS02100","PA14_05500","PA0422","QLX61_RS02230"
"PA5116","","","4","4","1","1","1861","","","","425","425","425","NNL25_RS27180","PA14_67550","PA5116","QLX61_RS27070"
"PA14_16840","","","4","4","1","1","5750","","","","398","398","398","NNL25_RS06590","PA14_16840","PA3674","QLX61_RS06605"
"pgsA","","","4","4","1","1","4494","","","","560","560","560","NNL25_RS12655","PA14_30670","PA2584","QLX61_RS12575"
"PA14_25430","","","4","4","1","1","4987","","","","1250","1250","1250","NNL25_RS10010","PA14_25430","PA2988","QLX61_RS10045"
"NNL25_RS20705","","","4","4","1","1","860","","","","761","761","761","NNL25_RS20705","PA14_51110","PA1021","QLX61_RS20815"
"NNL25_RS01275","","","4","4","1","1","1224","","","","686","686","686","NNL25_RS01275","PA14_03150","PA0255","QLX61_RS01360"
"QLX61_RS16945","","","4","4","1","1","440","","","","1331","1331","1331","NNL25_RS16715","PA14_41420","PA1791","QLX61_RS16945"
"bluB","","","4","4","1","1","3046","","","","656","656","656","NNL25_RS19350","PA14_47750","PA1274","QLX61_RS19480"
"QLX61_RS03210","","","4","4","1","1","6466","","","","1109","1109","1109","NNL25_RS03230","PA14_07860","PA0603","QLX61_RS03210"
"ldh","","","4","4","1","1","5509","","","","1025","1025","1025","NNL25_RS07780","PA14_19870","PA3418","QLX61_RS07800"
"dctA","","","4","4","1","1","2484","","","","1310","1310","1310","NNL25_RS19815","PA14_49130","PA1183","QLX61_RS19975"
"QLX61_RS21455","","","4","4","1","1","707","","","","290","290","290","NNL25_RS21520","PA14_52640","PA0900","QLX61_RS21455"
"ispD","","","4","4","1","1","5709","","","","704","704","704","NNL25_RS06795","PA14_17340","PA3633","QLX61_RS06810"
"QLX61_RS19405","","","4","4","1","1","3031","","","","479","479","479","NNL25_RS19275","PA14_47530","PA1289","QLX61_RS19405"
"PA0177","","","4","4","1","1","1144","","","","485","485","485","NNL25_RS00905","PA14_02230","PA0177","QLX61_RS00995"
"rplV","","","4","4","1","1","6389","","","","332","332","332","NNL25_RS03625","PA14_08900","PA4258","QLX61_RS03610"
"NNL25_RS19220","","","4","4","1","1","2540","","","","527","527","527","NNL25_RS19220","PA14_47400","PA1300","QLX61_RS18710"
"NNL25_RS25590","","","4","4","1","1","2187","","","","617","617","617","NNL25_RS25590","PA14_63470","PA4803","QLX61_RS25485"
"ttcA","","","4","4","1","1","3143","","","","824","824","824","NNL25_RS19770","PA14_48870","PA1192","QLX61_RS19930"
"soxR","","","4","4","1","1","4095","","","","470","470","470","NNL25_RS14275","PA14_35170","PA2273","QLX61_RS14295"
"PA3278","","","4","4","1","1","5357","","","","299","299","299","NNL25_RS08525","PA14_21630","PA3278","QLX61_RS08565"
"madM","","","4","4","1","1","1184","","","","764","764","764","NNL25_RS01075","PA14_02640","PA0216","QLX61_RS01165"
"waaF","","","4","4","1","1","1964","","","","1037","1037","1037","NNL25_RS26660","PA14_66250","PA5012","QLX61_RS26550"
"NNL25_RS07080","","","4","4","1","1","5652","","","","422","422","422","NNL25_RS07080","PA14_18050","PA3576","QLX61_RS07090"
"crc","","","4","4","1","1","1636","","","","779","779","779","NNL25_RS28315","PA14_70390","PA5332","QLX61_RS28270"
"QLX61_RS00735","","","4","4","1","1","1089","","","","908","908","908","NNL25_RS00645","PA14_01500","PA0123","QLX61_RS00735"
"dnaN","","","4","4","1","1","966","","","","1103","1103","1103","NNL25_RS00010","PA14_00020","PA0002","QLX61_RS00010"
"QLX61_RS25860","","","4","4","1","1","2105","","","","407","407","407","NNL25_RS25965","PA14_64490","PA4877","QLX61_RS25860"
"QLX61_RS02545","","","4","4","1","1","6640","","","","515","515","515","NNL25_RS02405","PA14_06310","PA0484","QLX61_RS02545"
"PA3605","","","4","4","1","1","5681","","","","926","926","926","NNL25_RS06935","PA14_17660","PA3605","QLX61_RS06950"
"PA4782","","","4","4","1","1","2210","","","","245","245","245","NNL25_RS25485","PA14_63220","PA4782","QLX61_RS25335"
"NNL25_RS23495","","","4","4","1","1","3696","","","","593","593","593","NNL25_RS23495","PA14_57500","PA4425","QLX61_RS23415"
"tgt","","","4","4","1","1","5933","","","","1118","1118","1118","NNL25_RS05825","PA14_14600","PA3823","QLX61_RS05820"
"PA14_11010","","","4","4","1","1","6220","","","","290","290","290","NNL25_RS04475","PA14_11010","PA4090","QLX61_RS04460"
"mmsB","","","4","4","1","1","5643","","","","896","896","896","NNL25_RS07120","PA14_18140","PA3569","QLX61_RS07130"
"mksF","","","4","4","1","1","2315","","","","1298","1298","1298","NNL25_RS24945","PA14_61960","PA4684","QLX61_RS24790"
"flgB","","","4","4","1","1","2369","","","","407","407","407","NNL25_RS20415","PA14_50480","PA1077","QLX61_RS20525"
"PA4910","","","4","4","1","1","2072","","","","872","872","872","NNL25_RS26130","PA14_64870","PA4910","QLX61_RS26025"
"PA5491","","","4","4","1","1","1472","","","","293","293","293","NNL25_RS29140","PA14_72470","PA5491","QLX61_RS29095"
"guaB","","","4","4","1","1","5879","","","","1469","1469","1469","NNL25_RS06095","PA14_15310","PA3770","QLX61_RS06090"
"cmoA","","","4","4","1","1","3309","","","","740","740","740","NNL25_RS22165","PA14_54260","PA0775","QLX61_RS22110"
"atpE","","","4","4","1","1","1396","","","","257","257","257","NNL25_RS29480","PA14_73300","PA5559","QLX61_RS29475"
"QLX61_RS00440","","","4","4","1","1","1029","","","","983","983","983","NNL25_RS00350","PA14_00760","PA0064","QLX61_RS00440"
